                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.674,                 4.7478,                 4.1974,                0.00012,                0.00654,                0.00024,                  2e-05,                 4.1397,                 4.4233,                 4.1571,             0.00018577,             0.00018577,             0.00018577
                      2,                 4.3582,                 4.2895,                 4.1336,                0.00046,                0.01816,                0.00036,                  9e-05,                 4.1253,                 4.4055,                 4.1404,             0.00038456,             0.00038456,             0.00038456
                      3,                 3.8533,                 3.7544,                 4.0061,                 0.0001,                0.00654,                0.00022,                  2e-05,                 4.1006,                 4.3666,                 4.1149,             0.00058202,             0.00058202,             0.00058202
                      4,                 3.5318,                 3.2076,                 3.6485,                0.00027,                0.01041,                0.00064,                  9e-05,                 4.0716,                 4.3381,                 4.0924,             0.00077817,             0.00077817,             0.00077817
                      5,                 3.1578,                 3.0101,                 3.4219,                0.00023,                0.00847,                0.00016,                  3e-05,                  4.073,                 4.4254,                 4.0966,             0.00097299,             0.00097299,             0.00097299
                      6,                 2.8869,                 2.7043,                 3.0573,                0.00012,                0.00654,                  6e-05,                  1e-05,                 4.0832,                  4.421,                 4.0898,              0.0011665,              0.0011665,              0.0011665
                      7,                 2.7005,                  2.516,                 2.8003,                0.00099,                0.02664,                0.00219,                0.00062,                 3.7449,                 4.2981,                 3.9005,              0.0013587,              0.0013587,              0.0013587
                      8,                 2.6245,                 2.4754,                 2.6511,                0.85778,                0.01744,                0.02691,                0.01047,                 3.2923,                 3.9166,                  3.537,               0.001396,               0.001396,               0.001396
                      9,                 2.5925,                 2.3517,                 2.5916,                0.74646,                0.08527,                0.07399,                0.02722,                 2.5247,                 2.8983,                 2.8455,              0.0013913,              0.0013913,              0.0013913
                     10,                 2.5618,                  2.333,                 2.5116,                0.78864,                0.14729,                0.12567,                0.04327,                 2.4668,                 2.4733,                 2.6617,              0.0013866,              0.0013866,              0.0013866
                     11,                 2.4016,                 2.1748,                 2.3581,                 0.8141,                0.17369,                0.16284,                0.06512,                 2.3392,                 2.2519,                 2.5816,              0.0013818,              0.0013818,              0.0013818
                     12,                 2.3918,                 2.1076,                 2.3214,                0.82466,                0.17829,                0.17025,                0.06229,                 2.4189,                  2.279,                 2.5785,              0.0013771,              0.0013771,              0.0013771
                     13,                 2.3604,                 1.9957,                 2.3188,                0.88659,                0.19574,                0.21124,                0.08913,                 2.2092,                 2.0484,                 2.4118,              0.0013724,              0.0013724,              0.0013724
                     14,                 2.3338,                 1.9912,                 2.2915,                  0.915,                0.18217,                0.22129,                0.09605,                  2.209,                 2.0006,                 2.4068,              0.0013677,              0.0013677,              0.0013677
                     15,                 2.3188,                 2.0064,                 2.2913,                0.89839,                0.19447,                0.23995,                0.10564,                 2.1929,                 1.9404,                 2.3619,               0.001363,               0.001363,               0.001363
                     16,                 2.2605,                 1.8704,                 2.2005,                0.89848,                0.22287,                0.26114,                0.10169,                 2.2251,                 1.8863,                 2.3823,              0.0013583,              0.0013583,              0.0013583
                     17,                 2.2137,                 1.7775,                 2.1251,                0.91766,                0.22093,                 0.2622,                0.10707,                 2.1979,                 1.8556,                 2.3524,              0.0013535,              0.0013535,              0.0013535
                     18,                 2.2368,                  1.845,                  2.154,                0.92028,                0.21124,                0.25414,                0.11984,                 2.0706,                 1.8206,                 2.2573,              0.0013488,              0.0013488,              0.0013488
                     19,                 2.1855,                 1.7939,                 2.0846,                0.94778,                0.20543,                0.27209,                0.11927,                 2.0868,                 1.7789,                 2.2475,              0.0013441,              0.0013441,              0.0013441
                     20,                 2.1252,                 1.7447,                  2.079,                0.92385,                0.23643,                0.27914,                0.12745,                 2.0363,                 1.7659,                 2.2266,              0.0013394,              0.0013394,              0.0013394
                     21,                 2.0988,                 1.6893,                 2.0567,                0.90726,                0.23256,                 0.2741,                0.11108,                 2.1471,                 1.7798,                 2.2909,              0.0013347,              0.0013347,              0.0013347
                     22,                  2.114,                 1.7367,                 2.0606,                0.93773,                0.21936,                0.28994,                0.12738,                 2.0569,                 1.7213,                  2.203,                0.00133,                0.00133,                0.00133
                     23,                 2.0523,                 1.6537,                 1.9973,                0.95066,                0.22868,                 0.2823,                0.12055,                 2.1055,                 1.7556,                 2.2267,              0.0013253,              0.0013253,              0.0013253
                     24,                 2.0734,                  1.625,                 1.9747,                0.92929,                0.21899,                0.27609,                0.12495,                 2.0052,                 1.7808,                  2.171,              0.0013205,              0.0013205,              0.0013205
                     25,                  2.057,                 1.6165,                 1.9458,                0.96161,                0.22674,                 0.2947,                0.12526,                 2.0149,                 1.7369,                 2.1882,              0.0013158,              0.0013158,              0.0013158
                     26,                 2.0164,                 1.6121,                 1.9671,                0.96007,                0.25194,                0.32463,                0.14739,                 1.9992,                 1.6184,                  2.136,              0.0013111,              0.0013111,              0.0013111
                     27,                 2.0555,                 1.5935,                 1.9776,                0.66892,                0.28633,                0.31579,                0.14275,                 2.0348,                 1.6806,                 2.1604,              0.0013064,              0.0013064,              0.0013064
                     28,                 1.9874,                 1.5006,                 1.9047,                0.42084,                0.30255,                0.30477,                0.14249,                 1.9629,                 1.5941,                 2.1048,              0.0013017,              0.0013017,              0.0013017
                     29,                 2.0525,                 1.5662,                  1.934,                0.33509,                0.27155,                0.29384,                0.11574,                  2.145,                 1.7572,                 2.2453,               0.001297,               0.001297,               0.001297
