                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5824,                 1.3037,                 1.4087,                0.64069,                0.51408,                0.54992,                0.24535,                 2.0434,                 1.6394,                 1.7688,             0.00061203,             0.00061203,             0.00061203
                     35,                 1.5634,                 1.2843,                 1.3974,                0.58124,                0.55335,                0.56957,                0.25023,                 2.0141,                 1.6094,                 1.7349,             0.00060303,             0.00060303,             0.00060303
                     36,                 1.5553,                 1.2737,                 1.3935,                0.68244,                0.51376,                0.56286,                0.26021,                 1.9981,                 1.6252,                 1.7308,             0.00059403,             0.00059403,             0.00059403
                     37,                 1.5369,                 1.2559,                  1.382,                0.65578,                0.54378,                0.56688,                0.25614,                 2.0324,                 1.5852,                 1.7377,             0.00058503,             0.00058503,             0.00058503
                     38,                 1.5383,                 1.2461,                 1.3723,                0.66603,                0.53736,                0.57152,                0.26332,                 2.0104,                 1.6201,                 1.7313,             0.00057603,             0.00057603,             0.00057603
                     39,                 1.5281,                 1.2321,                 1.3686,                 0.6631,                0.55998,                0.57543,                0.26032,                 2.0032,                  1.586,                 1.7211,             0.00056703,             0.00056703,             0.00056703
                     40,                 1.5173,                  1.212,                 1.3553,                0.66581,                0.50858,                0.57676,                0.26707,                 2.0238,                 1.5622,                 1.7301,             0.00055804,             0.00055804,             0.00055804
                     41,                 1.5046,                 1.2004,                 1.3473,                0.64915,                0.53777,                0.57384,                0.26709,                 1.9819,                 1.5732,                  1.691,             0.00054904,             0.00054904,             0.00054904
                     42,                 1.4881,                 1.1808,                 1.3389,                 0.6801,                 0.5674,                0.59548,                0.27503,                 1.9835,                 1.5281,                 1.7013,             0.00054004,             0.00054004,             0.00054004
                     43,                 1.4898,                 1.1827,                 1.3365,                0.67497,                0.55896,                0.58307,                0.27647,                 1.9701,                 1.5368,                 1.7068,             0.00053104,             0.00053104,             0.00053104
                     44,                 1.4816,                 1.1741,                  1.332,                0.63568,                0.55423,                0.57559,                0.26722,                 2.0028,                 1.5669,                 1.7164,             0.00052204,             0.00052204,             0.00052204
                     45,                 1.4718,                  1.161,                 1.3252,                0.73701,                 0.5241,                0.59038,                0.27303,                 1.9899,                 1.5249,                 1.6907,             0.00051304,             0.00051304,             0.00051304
