                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3927,                 1.0149,                 1.3421,                0.70011,                0.57005,                0.63148,                0.29142,                 1.9927,                 1.4326,                 1.8195,             0.00061203,             0.00061203,             0.00061203
                     35,                 1.3636,                0.99048,                 1.3273,                0.67151,                0.63754,                0.64923,                0.31139,                 1.9432,                 1.4106,                 1.7917,             0.00060303,             0.00060303,             0.00060303
                     36,                 1.3611,                 0.9863,                 1.3297,                0.69359,                0.61949,                0.66676,                0.31093,                 1.9354,                 1.3803,                 1.7732,             0.00059403,             0.00059403,             0.00059403
                     37,                 1.3515,                0.97636,                 1.3179,                0.71596,                0.62194,                0.64606,                0.30856,                 1.9622,                 1.4272,                 1.7835,             0.00058503,             0.00058503,             0.00058503
                     38,                  1.344,                0.96488,                 1.3083,                0.73826,                0.59255,                0.65252,                0.30489,                 1.9644,                 1.4092,                  1.804,             0.00057603,             0.00057603,             0.00057603
                     39,                 1.3412,                0.95553,                  1.308,                0.74815,                0.57057,                 0.6351,                0.31539,                 1.9323,                  1.426,                 1.7741,             0.00056703,             0.00056703,             0.00056703
                     40,                 1.3321,                0.93578,                 1.2958,                0.68622,                0.60794,                0.64695,                 0.3176,                  1.907,                 1.3975,                 1.7537,             0.00055804,             0.00055804,             0.00055804
                     41,                 1.3192,                0.93535,                 1.2895,                   0.72,                0.61098,                0.65237,                0.31964,                 1.9137,                 1.3882,                 1.7452,             0.00054904,             0.00054904,             0.00054904
                     42,                 1.3026,                0.92215,                 1.2809,                0.71505,                 0.6077,                0.66145,                0.32186,                 1.9006,                 1.3636,                 1.7334,             0.00054004,             0.00054004,             0.00054004
                     43,                 1.3121,                0.92057,                 1.2807,                0.73766,                0.58784,                0.64624,                0.31557,                 1.9262,                 1.3521,                 1.7516,             0.00053104,             0.00053104,             0.00053104
