                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6657,                  4.765,                  4.213,                0.00027,                0.01623,                0.00014,                  4e-05,                 4.1357,                 4.4346,                 4.1563,             0.00018577,             0.00018577,             0.00018577
                      2,                 4.4561,                 4.4352,                 4.1449,                  3e-05,                0.00654,                  3e-05,                      0,                 4.1179,                  4.423,                  4.136,             0.00038456,             0.00038456,             0.00038456
                      3,                  4.193,                 4.1825,                  4.041,                  3e-05,                0.00654,                0.00085,                  9e-05,                 4.0687,                  4.395,                 4.0872,             0.00058202,             0.00058202,             0.00058202
                      4,                 4.1215,                 3.7331,                 3.8447,                  7e-05,                0.01307,                0.00014,                  2e-05,                  4.024,                 4.3922,                 4.0415,             0.00077817,             0.00077817,             0.00077817
                      5,                 3.6796,                 3.5074,                 3.6083,                  9e-05,                0.00654,                0.00012,                  1e-05,                 4.0499,                 4.4077,                 4.0561,             0.00097299,             0.00097299,             0.00097299
                      6,                 3.3892,                 3.1301,                 3.3035,                0.00013,                0.00654,                0.00015,                  2e-05,                 4.0993,                 4.4114,                 4.0966,              0.0011665,              0.0011665,              0.0011665
                      7,                 3.1141,                 3.0879,                 3.0595,                0.00013,                0.00654,                 0.0001,                  1e-05,                 4.0459,                 4.3602,                 4.0698,              0.0013587,              0.0013587,              0.0013587
                      8,                 3.0291,                  2.959,                 2.8867,                0.00287,                0.05958,                0.00261,                0.00104,                 3.6776,                 4.1313,                 3.7815,               0.001396,               0.001396,               0.001396
                      9,                 2.8983,                 2.7353,                  2.743,                0.00789,                0.23757,                0.02519,                0.00883,                 3.2272,                 3.7706,                  3.451,              0.0013913,              0.0013913,              0.0013913
                     10,                  2.763,                 2.6455,                 2.6217,                0.81787,                0.08206,                0.07804,                0.02879,                  2.754,                 3.0069,                 2.9326,              0.0013866,              0.0013866,              0.0013866
                     11,                 2.6319,                 2.4777,                 2.5072,                0.80741,                0.11628,                0.10484,                0.03816,                 2.5717,                 2.6856,                 2.7039,              0.0013818,              0.0013818,              0.0013818
                     12,                 2.5653,                 2.3936,                 2.4542,                0.82906,                0.16201,                 0.1364,                0.04583,                  2.538,                 2.6195,                 2.6309,              0.0013771,              0.0013771,              0.0013771
                     13,                  2.503,                 2.2233,                 2.3977,                0.84373,                0.17566,                0.15161,                0.05727,                 2.4441,                 2.4926,                 2.5409,              0.0013724,              0.0013724,              0.0013724
                     14,                 2.4813,                 2.2132,                 2.3729,                0.87373,                0.15116,                0.16579,                0.06269,                 2.3708,                 2.3982,                 2.4525,              0.0013677,              0.0013677,              0.0013677
                     15,                 2.4218,                 2.1791,                 2.3342,                0.85998,                0.18605,                0.17777,                0.07293,                 2.2853,                 2.3005,                 2.3983,               0.001363,               0.001363,               0.001363
                     16,                 2.3225,                 2.0494,                 2.2247,                0.86962,                0.18411,                0.18697,                0.06677,                 2.4026,                 2.2234,                 2.4703,              0.0013583,              0.0013583,              0.0013583
                     17,                  2.289,                 1.9937,                 2.1624,                0.89394,                0.19102,                0.22223,                0.08883,                 2.2541,                 2.0155,                   2.34,              0.0013535,              0.0013535,              0.0013535
                     18,                 2.3618,                 2.0525,                 2.1841,                0.85953,                0.20543,                0.20301,                0.08147,                 2.2297,                 2.2353,                 2.2711,              0.0013488,              0.0013488,              0.0013488
                     19,                  2.289,                 2.0134,                 2.1219,                0.92384,                0.20286,                0.23708,                0.09758,                 2.1727,                 1.9828,                 2.2432,              0.0013441,              0.0013441,              0.0013441
                     20,                 2.2521,                 1.9395,                 2.1261,                0.91493,                0.20927,                0.24988,                0.09833,                 2.1817,                 1.9449,                 2.2503,              0.0013394,              0.0013394,              0.0013394
                     21,                 2.1824,                 1.8175,                 2.0724,                0.89605,                0.20955,                0.24379,                0.09909,                 2.1358,                 1.9156,                 2.2269,              0.0013347,              0.0013347,              0.0013347
                     22,                 2.2093,                  1.874,                 2.0772,                0.59742,                0.21705,                0.26619,                0.11683,                 2.1392,                 1.8079,                 2.2195,                0.00133,                0.00133,                0.00133
                     23,                  2.134,                  1.805,                 2.0278,                0.56214,                0.22674,                0.26662,                0.10533,                 2.1793,                 1.8525,                 2.2258,              0.0013253,              0.0013253,              0.0013253
                     24,                 2.1702,                 1.7777,                 2.0208,                0.89217,                0.20543,                0.24164,                0.10405,                  2.114,                 1.8832,                 2.1642,              0.0013205,              0.0013205,              0.0013205
                     25,                 2.1793,                 1.7756,                 1.9971,                0.90208,                0.23256,                 0.2546,                 0.1083,                 2.1542,                 1.7902,                 2.1916,              0.0013158,              0.0013158,              0.0013158
                     26,                 2.1255,                 1.7493,                 1.9914,                0.55648,                0.20736,                0.24638,                 0.1002,                 2.1386,                 2.0263,                 2.1795,              0.0013111,              0.0013111,              0.0013111
                     27,                 2.1522,                 1.7584,                 2.0078,                0.88763,                0.19574,                0.24133,                0.10323,                 2.1145,                 1.8675,                 2.1354,              0.0013064,              0.0013064,              0.0013064
                     28,                 2.0686,                 1.6827,                 1.9318,                0.93006,                0.21895,                 0.2744,                0.11919,                 2.0652,                 1.7738,                 2.1213,              0.0013017,              0.0013017,              0.0013017
                     29,                 2.1063,                 1.7032,                 1.9377,                0.54506,                0.25581,                0.26845,                0.11747,                 2.0705,                 1.7317,                 2.1216,               0.001297,               0.001297,               0.001297
                     30,                 2.0934,                 1.6639,                 1.9237,                 0.8842,                0.23301,                0.26876,                0.11791,                 2.0649,                  1.761,                 2.0876,              0.0012922,              0.0012922,              0.0012922
                     31,                 2.0627,                 1.7107,                 1.8979,                0.94126,                0.21705,                0.28505,                0.12746,                 2.0457,                 1.7184,                 2.0812,              0.0012875,              0.0012875,              0.0012875
                     32,                 2.0697,                 1.6588,                 1.8965,                0.94725,                0.21705,                0.27946,                0.12641,                 2.0902,                 1.6929,                 2.1081,              0.0012828,              0.0012828,              0.0012828
                     33,                 2.0666,                 1.6788,                 1.8939,                0.57902,                0.23904,                0.27867,                0.11832,                 2.0135,                 1.7519,                 2.0569,              0.0012781,              0.0012781,              0.0012781
                     34,                 1.9941,                 1.6635,                 1.8892,                0.94298,                0.26296,                0.29727,                0.13692,                 2.0278,                 1.6368,                 2.0695,              0.0012734,              0.0012734,              0.0012734
                     35,                 2.0094,                 1.6398,                 1.8797,                0.93601,                 0.2447,                0.28475,                0.13425,                 2.0234,                 1.6531,                 2.0642,              0.0012687,              0.0012687,              0.0012687
                     36,                 2.0231,                 1.5813,                 1.8555,                0.93384,                0.25581,                 0.3085,                0.13407,                  2.033,                 1.6297,                 2.0349,               0.001264,               0.001264,               0.001264
                     37,                 2.0327,                 1.5771,                 1.8773,                0.86138,                0.30841,                0.32478,                0.13983,                 2.0641,                 1.6198,                 2.0606,              0.0012592,              0.0012592,              0.0012592
                     38,                 2.0519,                 1.6034,                 1.8773,                0.93764,                0.26108,                0.32593,                0.14545,                 2.0364,                 1.5933,                 2.0594,              0.0012545,              0.0012545,              0.0012545
                     39,                 1.9689,                 1.5537,                 1.8102,                0.95425,                0.25775,                0.28898,                0.13195,                 2.0765,                 1.6007,                 2.0564,              0.0012498,              0.0012498,              0.0012498
                     40,                 1.9831,                 1.5231,                 1.7934,                 0.9433,                0.23639,                0.28066,                0.13086,                 2.0747,                 1.6311,                 2.0613,              0.0012451,              0.0012451,              0.0012451
                     41,                 1.9831,                 1.6219,                 1.8518,                0.93692,                0.21899,                0.27851,                0.12362,                 2.0602,                 1.7096,                 2.0512,              0.0012404,              0.0012404,              0.0012404
                     42,                 1.9578,                 1.5455,                 1.8195,                0.92266,                0.26357,                0.28761,                 0.1233,                 2.0625,                 1.7064,                 2.0489,              0.0012357,              0.0012357,              0.0012357
                     43,                  1.998,                 1.5738,                 1.8418,                0.77384,                 0.2701,                0.31622,                0.14206,                 1.9947,                 1.5679,                 2.0088,              0.0012309,              0.0012309,              0.0012309
                     44,                 1.9554,                 1.5356,                 1.7997,                0.87339,                0.29515,                0.29701,                0.12984,                 2.0243,                 1.6072,                 2.0321,              0.0012262,              0.0012262,              0.0012262
                     45,                  1.945,                 1.4759,                 1.7597,                0.95762,                0.24225,                 0.3103,                0.14319,                 1.9792,                 1.5703,                 1.9942,              0.0012215,              0.0012215,              0.0012215
                     46,                 1.9391,                 1.4943,                 1.7822,                0.70065,                0.27629,                0.29528,                 0.1292,                 2.0156,                 1.6147,                  2.033,              0.0012168,              0.0012168,              0.0012168
                     47,                   1.96,                 1.5219,                  1.781,                0.95013,                0.25388,                0.30941,                0.14361,                 1.9639,                 1.5043,                 1.9721,              0.0012121,              0.0012121,              0.0012121
                     48,                 1.9018,                 1.4137,                 1.7302,                0.92928,                 0.2591,                0.30531,                0.13979,                 1.9543,                 1.5595,                 1.9397,              0.0012074,              0.0012074,              0.0012074
                     49,                 1.9243,                 1.4041,                 1.7237,                0.94163,                   0.25,                0.29723,                0.13008,                 1.9541,                 1.5703,                  1.962,              0.0012026,              0.0012026,              0.0012026
                     50,                 1.9269,                 1.4948,                 1.7836,                0.74072,                0.27398,                0.31189,                0.14629,                 1.9571,                 1.4867,                 1.9566,              0.0011979,              0.0011979,              0.0011979
                     51,                 1.9232,                 1.4356,                  1.747,                0.63472,                0.34189,                0.31648,                0.14129,                 1.9832,                 1.5149,                 1.9785,              0.0011932,              0.0011932,              0.0011932
                     52,                 1.9232,                 1.4006,                 1.7231,                 0.9433,                0.28014,                0.32064,                0.14014,                 1.9822,                  1.534,                 1.9973,              0.0011885,              0.0011885,              0.0011885
                     53,                 1.9342,                 1.4218,                 1.7826,                0.92433,                0.27907,                0.31247,                  0.145,                  1.959,                 1.4991,                 1.9679,              0.0011838,              0.0011838,              0.0011838
                     54,                  1.906,                  1.391,                 1.7208,                0.93616,                   0.27,                0.29903,                0.14393,                 1.9266,                 1.4958,                 1.9296,              0.0011791,              0.0011791,              0.0011791
                     55,                 1.8605,                 1.4106,                 1.6885,                0.59676,                0.27019,                  0.308,                0.14598,                 1.9596,                 1.5048,                 1.9396,              0.0011744,              0.0011744,              0.0011744
                     56,                 1.9023,                 1.4114,                 1.7417,                0.32278,                0.30643,                0.31161,                0.14391,                 2.0508,                 1.5342,                  1.992,              0.0011696,              0.0011696,              0.0011696
                     57,                  1.913,                 1.4164,                 1.7494,                0.60614,                0.27326,                0.32208,                0.14237,                 2.0096,                 1.4683,                 1.9908,              0.0011649,              0.0011649,              0.0011649
                     58,                 1.8909,                 1.3698,                 1.6911,                0.61613,                0.27112,                 0.2978,                0.13261,                 2.0078,                  1.548,                 1.9793,              0.0011602,              0.0011602,              0.0011602
                     59,                 1.8711,                 1.3752,                 1.6828,                0.93302,                0.25581,                0.29711,                0.13275,                 1.9991,                   1.52,                 1.9939,              0.0011555,              0.0011555,              0.0011555
                     60,                 1.8835,                 1.3777,                 1.7209,                0.72164,                 0.2701,                0.30848,                0.14238,                 1.9302,                 1.5049,                 1.9401,              0.0011508,              0.0011508,              0.0011508
                     61,                 1.8435,                 1.3327,                 1.6931,                0.82772,                0.28554,                0.31597,                0.14113,                 1.9575,                 1.5266,                 1.9432,              0.0011461,              0.0011461,              0.0011461
                     62,                 1.8563,                  1.371,                 1.7104,                0.95526,                0.27326,                0.32641,                0.14212,                 1.9957,                 1.5053,                 1.9615,              0.0011413,              0.0011413,              0.0011413
                     63,                 1.8811,                  1.343,                 1.7024,                0.62804,                0.29142,                0.30983,                0.14377,                 1.9594,                 1.4856,                 1.9355,              0.0011366,              0.0011366,              0.0011366
                     64,                 1.8883,                 1.3505,                 1.6955,                0.64494,                0.27837,                0.30799,                0.13708,                 1.9766,                 1.4577,                 1.9506,              0.0011319,              0.0011319,              0.0011319
                     65,                 1.8684,                 1.3577,                 1.7272,                0.66524,                0.31481,                0.31195,                0.13802,                 1.9728,                  1.452,                  1.956,              0.0011272,              0.0011272,              0.0011272
                     66,                 1.8139,                 1.3227,                 1.6824,                0.57918,                0.28876,                0.31025,                 0.1372,                 1.9948,                  1.432,                 1.9574,              0.0011225,              0.0011225,              0.0011225
                     67,                 1.8314,                 1.3097,                 1.6475,                0.59529,                0.28561,                0.33329,                0.15018,                 1.9222,                  1.397,                 1.9239,              0.0011178,              0.0011178,              0.0011178
                     68,                 1.8157,                 1.3127,                 1.6664,                0.34377,                0.28196,                0.30868,                0.14646,                 1.9339,                 1.5614,                 1.9182,               0.001113,               0.001113,               0.001113
                     69,                 1.7904,                 1.2961,                 1.6779,                0.29328,                0.29551,                0.31789,                0.14639,                 1.9408,                 1.4685,                 1.9086,              0.0011083,              0.0011083,              0.0011083
                     70,                 1.8362,                  1.318,                 1.6651,                0.64005,                0.31346,                0.32605,                0.14988,                  1.915,                 1.4245,                 1.8702,              0.0011036,              0.0011036,              0.0011036
                     71,                 1.8152,                 1.2816,                 1.6375,                0.84607,                0.27398,                0.31793,                0.14446,                 1.9299,                 1.4069,                 1.8834,              0.0010989,              0.0010989,              0.0010989
                     72,                 1.8352,                 1.3159,                 1.6702,                0.84157,                0.26554,                0.31963,                0.14916,                 1.9422,                 1.4121,                 1.9095,              0.0010942,              0.0010942,              0.0010942
                     73,                 1.8042,                 1.2751,                 1.6638,                0.89077,                0.27398,                0.32817,                 0.1514,                 1.9114,                 1.3873,                 1.8957,              0.0010895,              0.0010895,              0.0010895
                     74,                 1.8442,                 1.3126,                 1.6561,                0.70187,                0.31418,                0.31484,                0.13622,                 1.9552,                 1.4768,                 1.9005,              0.0010848,              0.0010848,              0.0010848
                     75,                 1.7784,                 1.2584,                 1.6427,                0.96245,                0.26163,                 0.3406,                 0.1575,                 1.9077,                 1.4054,                 1.8952,                0.00108,                0.00108,                0.00108
                     76,                 1.8338,                  1.304,                 1.6514,                0.62605,                0.33888,                0.31802,                  0.142,                 1.9712,                  1.458,                 1.9265,              0.0010753,              0.0010753,              0.0010753
                     77,                  1.781,                  1.285,                 1.6666,                0.31202,                0.34614,                0.35408,                0.15902,                 1.9097,                  1.388,                 1.8861,              0.0010706,              0.0010706,              0.0010706
